"producto","presentacion","marca","categoria","catalogo","precio","fechaRegistro","cadenaComercial","giro","nombreComercial","direccion","estado","municipio","latitud","longitud"
"ACELGA","MANOJO","S/M","HORTALIZAS FRESCAS","FRUTAS Y LEGUMBRES",6,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"ZANAHORIA","1 KG. MEDIANA","S/M","HORTALIZAS FRESCAS","FRUTAS Y LEGUMBRES",12.9,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"TOMATE","1 KG. VERDE","S/M","HORTALIZAS FRESCAS","FRUTAS Y LEGUMBRES",15.7,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"LECHUGA","PZA. OREJONA","S/M","HORTALIZAS FRESCAS","FRUTAS Y LEGUMBRES",9.5,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"CHAMPIÑON","1 KG.","S/M","HORTALIZAS FRESCAS","FRUTAS Y LEGUMBRES",51.5,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"ELOTE","LATA 220 GR. EN GRANO","HERDEZ","HORTALIZAS FRESCAS","MERCADOS",8.8,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"ELOTE","LATA 225 GR. EN GRANO","DEL MONTE","HORTALIZAS FRESCAS","BASICOS",7.4,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"PASA (UVA PASA)","1 KG. GRANEL","S/M","CHOCOLATES Y GOLOSINAS","BASICOS",41.5,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"LENTEJA","BOLSA 500 GR.","SAN LAZARO","LEGUMBRES SECAS","BASICOS",13.97,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"HABA","BOLSA 500 GR. PELADA","SAN LAZARO","LEGUMBRES SECAS","BASICOS",31.62,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"FRIJOL","BOLSA 900 GR. NEGRO","VERDE VALLE","LEGUMBRES SECAS","BASICOS",16.9,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"FRIJOL","BOLSA 1 KG. FLOR DE MAYO","VERDE VALLE","LEGUMBRES SECAS","BASICOS",20.89,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"CHILE","BOLSA 100 GR. GUAJILLO","VERDE VALLE","LEGUMBRES SECAS","BASICOS",19.9,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"CHICHAROS EN LATA","LATA 215 GR.","HERDEZ","FRUTAS Y LEGUMBRES PROCESADAS","BASICOS",5.9,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"CHICHAROS EN LATA","LATA 200 GR.","DEL MONTE","FRUTAS Y LEGUMBRES PROCESADAS","MERCADOS",5.42,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"CHILES EN LATA","LATA 380 GR. JALAPENOS RAJAS","LA COSTENA","FRUTAS Y LEGUMBRES PROCESADAS","BASICOS",8.5,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"CHILES EN LATA","LATA 215 GR. CHIPOTLES ADOBADOS","SAN MARCOS","FRUTAS Y LEGUMBRES PROCESADAS","BASICOS",11.7,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"CHILES EN LATA","LATA 105 GR. JALAPENOS RAJAS","LA COSTENA","FRUTAS Y LEGUMBRES PROCESADAS","BASICOS",3.3,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"CHILES EN LATA","LATA 220 GR. SERRANO","LA COSTENA","FRUTAS Y LEGUMBRES PROCESADAS","BASICOS",5.9,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"AZUCAR","BOLSA PLASTICO 2 KG. REFINADA","S/M","AZUCAR","BASICOS",40,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"PIÑA EN ALMIBAR","LATA 800 GR. TROCITOS","LA  COSTENA","FRUTAS Y LEGUMBRES PROCESADAS","BASICOS",25,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"PIÑA EN ALMIBAR","LATA 800 GR. REBANADA","HERDEZ","FRUTAS Y LEGUMBRES PROCESADAS","BASICOS",27.27,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"MERMELADA","FRASCO 500 GR. FRESA","MC CORMICK","FRUTAS Y LEGUMBRES PROCESADAS","BASICOS",25.19,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"MERMELADA","FRASCO 270 GR. FRESA","LA COSTENA","FRUTAS Y LEGUMBRES PROCESADAS","BASICOS",15.79,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"FRIJOLES","LATA 430 GR. REFRITOS. CON CHIPOTLE","SAN MARCOS","FRUTAS Y LEGUMBRES PROCESADAS","BASICOS",7.4,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"MAYONESA","FRASCO 190 GR. CON JUGO DE LIMONES","MC CORMICK","CONDIMENTOS","MERCADOS",11.82,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"CONCENTRADO DE POLLO","CAJA 132 GR. 12 CUBOS CALDO","KNORR","CONDIMENTOS","BASICOS",16.3,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"AGUA SIN GAS","BOTELLA 1.5 LT. JAMAICA","CIEL +","REFRESCOS ENVASADOS","BASICOS",11.16,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"AGUA CON GAS","BOTELLA 2 LT.","CIEL","REFRESCOS ENVASADOS","BASICOS",10.78,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"CAFE TOSTADO Y MOLIDO","BOLSA 454 GR.","INTERNACIONAL. AMERICANO","CAFE","BASICOS",58.5,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"CAFE SOLUBLE","FRASCO 100 GR.","NESCAFE DOLCA","CAFE","MERCADOS",28.45,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"CHOCOLATE EN TABLILLAS","PAQUETE 540 GR. CON 6 TABLILLAS DE 90 GR.","IBARRA","CHOCOLATES Y GOLOSINAS","MERCADOS",42.65,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"VINAGRE","BOTELLA 750 ML. DE MANZANA","BARRILITO","CONDIMENTOS","BASICOS",14.85,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"VINAGRE","BOTELLA 750 ML. BLANCO ALCOHOL CANA","BARRILITO","CONDIMENTOS","MERCADOS",9.9,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"AJONJOLI","SOBRE 100 GR.","SAN LAZARO","CONDIMENTOS","BASICOS",8.24,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"SALSA CATSUP","BOTELLA 390 GR. PLASTICO","DEL MONTE","CONDIMENTOS","MERCADOS",8.3,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"MAYONESA","FRASCO 390 GR. ADEREZO SIN COLESTEROL","HELLMANN'S. MAYO","CONDIMENTOS","BASICOS",22.26,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"PAÑALES DESECHABLES","PAQUETE 40 PIEZAS. SUAVELASTIC. MAX. GRANDE","KLEEN BEBE","ARTS. DE PAPEL P/HIGIENE PERSONAL","BASICOS",132.9,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"ACONDICIONADOR / ENJUAGUE","BOTELLA 384 ML. ACEITE DE OLIVA","PERT","ARTS. PARA EL CUIDADO PERSONAL","BASICOS",36,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"SHAMPOO","BOTELLA 355 ML. HIDRADISIACO","HERBAL ESSENCES","ARTS. PARA EL CUIDADO PERSONAL","BASICOS",39.6,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"SHAMPOO","BOTELLA 900 ML. CLASICO","VANART","ARTS. PARA EL CUIDADO PERSONAL","MERCADOS",23,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"JARABE P/PREPARAR BEBIDAS","BOTELLA 750 ML. HORCHATA","TUCAN","CHOCOLATES Y GOLOSINAS","BASICOS",26.2,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"MIEL DE ABEJA","BOTELLA 430 GR.","VITA REAL","CHOCOLATES Y GOLOSINAS","BASICOS",46.5,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
"DESODORANTE","BARRA 50 GR. (TAPA AZUL). ORIGINAL. ANTITRANSPIRANTE","DOVE","ARTS. PARA EL CUIDADO PERSONAL","BASICOS",35.64,"2011-01-10 00:00:00.000","COMERCIAL MEXICANA","TIENDA DE AUTOSERVICIO","COMERCIAL MEXICANA SUCURSAL INSURGENTES","PERPETUA NO. 35 ESQ. INSURGENTES SUR","DISTRITO FEDERAL","BENITO JUAREZ                           ",19.366903,-99.181344
